ListingKey,ListingID,HostID,Capacity,MinNights,MaxNights,Price,EstRevenue,EstOccupancy,Avail30Days,Avail60Days,Avail90Days,Avail365Days,TotalReviews,ReviewsLast12Months,ReviewsLast30Days,ReviewsLastYear,ReviewsPerMonth,Rating,AccuracyRating,CleanlinessRating,CheckInRating,CommunicationRating,LocationRating,ValueRating
4236,13398340,5917464,2,2,1125,325.5,83003,255,10,36,58,65,413,39,1,42,3.4,4.9,5,5,5,5,4.7,4.8
4237,13398348,1570170,2,1,28,229.25,58459,255,3,5,12,86,155,25,2,25,1.28,4.9,4.9,4.8,4.9,4.9,4.9,4.8
4238,13398837,22166692,2,30,1125,,,0,0,0,0,0,26,0,0,0,0.21,4.4,4.7,3.9,4.8,4.9,4.9,4.4
4239,13404021,76303329,2,30,1125,,,0,0,0,0,0,1,0,0,0,0.01,4,4,4,5,5,5,4
4240,13408222,27277459,4,30,180,142.99,0,0,0,0,0,255,105,0,0,0,0.87,4.8,4.9,4.7,4.9,4.9,4.5,4.8
4241,13411560,26676357,2,30,1125,,,0,0,0,0,0,2,0,0,0,0.02,5,5,5,5,5,5,5
4242,13416582,76443791,2,30,1125,,,0,0,0,0,0,12,0,0,0,0.1,5,5,4.9,5,5,5,4.8
4243,13417071,76451668,2,30,120,113.33,20399,180,10,16,46,136,35,3,0,3,0.3,4.8,4.8,4.7,4.7,5,4.6,4.5
4244,13422992,11274802,2,30,1125,221.6,0,0,29,59,89,179,39,0,0,0,0.41,5,5,4.9,5,5,4.9,4.9
4245,13424027,4991034,3,30,60,155.97,9358,60,0,0,0,164,7,1,0,1,0.06,5,4.9,5,5,5,5,4.7
4246,13424996,4392549,4,30,1125,,,0,0,0,0,0,4,0,0,0,0.03,4.8,5,5,5,4.8,4.3,5
4247,13426615,260537,2,30,60,72.17,17321,240,0,26,48,104,85,4,0,5,0.7,4.9,4.9,4.9,5,5,4.9,4.9
4248,13430012,30283594,3,30,1125,425.35,0,0,29,59,89,364,1,0,0,0,0.01,5,4,5,5,5,5,5
4249,13430483,30283594,3,30,1125,423.55,0,0,25,55,85,360,1,0,0,0,0.01,5,5,5,5,5,5,4
4250,13431793,30283594,3,30,1125,414.2,0,0,5,35,65,340,1,0,0,0,0.01,5,5,5,5,5,5,3
4251,13436258,5944946,2,2,30,194,12416,64,4,21,43,317,212,5,4,6,1.76,4.8,4.9,4.9,4.9,4.9,4.7,4.9
4252,13445057,51501835,3,30,365,199.13,35843,180,1,30,60,335,10,3,0,4,0.09,4.2,4.2,4.9,4.6,4.2,4.6,3.9
4253,13449844,76809352,2,30,1125,,,0,0,0,0,0,4,0,0,0,0.03,4.8,5,4.8,5,4.8,5,4.8
4254,13451379,24459217,1,30,1125,84.17,0,0,13,26,56,56,15,0,0,0,0.13,4.8,4.9,4.7,5,4.9,4.9,4.9
4255,13451811,23091281,2,30,1125,54.59,0,0,14,44,74,349,106,0,0,0,0.87,4.6,4.7,4.6,4.8,4.9,4.6,4.6
4256,13452799,76849055,1,30,30,,,0,0,0,0,0,3,0,0,0,0.02,4.7,4.7,4,5,5,4,4
4257,13459473,956383,2,30,30,,,0,0,0,0,0,0,0,0,0,,,,,,,,
4258,13467270,76840954,4,30,40,114.57,6874,60,3,33,42,42,33,1,0,1,0.27,4.8,4.9,4.8,4.8,4.9,4.6,4.6
4259,13474455,57186170,2,2,21,269,68595,255,4,19,42,276,280,29,1,32,2.43,4.7,4.8,4.8,4.9,4.9,4.8,4.7
4260,13478244,14942276,3,30,1125,186.67,47601,255,5,18,18,172,255,5,0,3,2.12,5,5,5,5,5,5,4.9
4261,13480134,51329030,1,30,1125,,,0,0,0,0,0,10,0,0,0,0.08,4.8,5,4.6,4.9,4.8,4.1,4.8
4262,13481935,60059749,1,30,60,,,0,0,0,0,0,3,0,0,0,0.03,4.7,4.7,4,5,5,5,4.7
4263,13492449,31489150,2,30,1125,,,0,0,0,0,0,2,0,0,0,0.02,5,5,5,5,5,4.5,3.5
4264,13493430,3341869,4,30,1125,,,0,0,0,0,0,1,0,0,0,0.01,5,5,5,5,5,3,5
4265,13494095,379827,3,30,1125,154.86,27875,180,0,10,40,61,30,3,0,3,0.27,5,5,4.9,4.9,5,4.9,4.7
4266,13494532,77355562,2,30,40,84.83,0,0,0,0,0,74,126,0,0,0,1.04,4.9,4.9,4.9,4.9,4.9,4.9,4.8
4267,13507341,66646332,2,30,1125,70.55,0,0,3,3,3,133,18,0,0,1,0.15,4.7,4.7,4.4,4.7,4.9,4.8,4.8
4268,13507677,29510402,11,30,30,460.93,0,0,28,58,88,88,7,0,0,0,0.13,5,5,4.7,5,5,4.6,4.7
4269,13514115,3886532,1,30,1125,,,0,0,0,0,0,126,0,0,0,1.05,4.9,4.9,4.9,4.9,4.9,4.9,4.9
4270,13519630,1658443,3,30,1125,,,0,0,0,0,0,1,0,0,0,0.01,4,5,4,5,5,5,5
4271,13520598,12267269,4,30,1125,,,0,0,0,0,0,22,0,0,0,0.18,4.8,4.9,4.9,5,5,4.9,4.7
4272,13525308,50995154,2,30,1125,,,0,0,0,0,0,11,0,0,0,0.09,4.6,4.8,4.6,5,5,4.9,4.9
4273,13526398,45595980,4,30,1125,186.97,0,0,0,0,0,231,20,0,0,0,0.19,4.9,4.9,4.8,5,5,5,4.5
4274,13529498,23826651,1,30,30,,,0,0,0,0,0,0,0,0,0,,,,,,,,
4275,13531199,14524071,2,30,1125,,,0,0,0,0,0,5,0,0,0,0.05,5,4.6,4.8,4.8,4.8,5,4.8
4276,13532718,7917224,1,30,40,,,0,0,0,0,0,2,0,0,0,0.02,4.5,5,5,5,4.5,4,4.5
4277,13536155,36815239,1,2,60,108.5,27668,255,2,4,15,15,490,34,2,39,4.03,4.9,4.9,4.9,4.9,5,4.7,4.8
4278,13544987,26064594,3,30,1125,,,0,0,0,0,0,1,0,0,0,0.01,5,5,5,5,5,5,5
4279,13546134,19004207,3,30,1125,,,0,0,0,0,0,0,0,0,0,,,,,,,,
4280,13548357,19163998,2,30,31,81.86,0,0,23,53,83,358,93,0,0,0,0.79,4.6,4.8,4.6,4.9,4.9,4.7,4.7
4281,13554710,47050813,2,30,1125,75.53,19260,255,0,11,21,194,305,5,0,6,2.51,4.9,4.9,4.9,4.9,5,4.8,4.9
4282,13556607,77134747,2,30,1125,132.93,0,0,23,53,83,83,2,0,0,0,0.02,5,5,5,5,5,4,5
4283,13559208,81335,5,30,90,162.6,19512,120,0,17,34,185,228,2,0,2,1.88,4.6,4.8,4.5,4.8,4.7,4.9,4.6
4284,13564134,78176513,6,30,1125,296.07,0,0,27,57,87,362,118,0,0,0,0.99,4.5,4.7,4.2,4.9,5,4.7,4.5
4285,13571350,78258683,2,30,1125,,,0,0,0,0,0,0,0,0,0,,,,,,,,
4286,13573790,78292517,2,30,1125,,,0,0,0,0,0,7,0,0,0,0.06,4.7,5,4.7,5,5,4.9,4.7
4287,13573828,9440328,6,30,30,254.73,0,0,9,29,59,149,9,0,0,0,0.07,4.9,4.9,4.9,5,5,4.6,4.8
4288,13587436,78464432,4,30,300,255.07,30608,120,17,37,37,255,33,2,0,2,0.27,4.9,5,4.8,5,5,4.9,4.8
4289,13589415,21283171,3,30,1125,,,0,0,0,0,0,6,0,0,0,0.05,5,5,4.7,5,4.7,4.8,5
4290,13591017,10641733,3,30,1125,,,0,0,0,0,0,157,0,0,1,1.31,4.8,4.8,4.6,4.7,4.7,5,4.6
4291,13599973,4025420,2,30,1125,,,0,0,0,0,0,22,0,0,0,0.19,4.9,4.8,4.7,4.9,4.9,5,4.9
4292,13603093,78672740,2,30,90,81.49,9779,120,0,0,0,258,79,2,1,1,0.65,4.8,4.7,4.9,4.9,4.9,4.7,4.6
4293,13603364,1924750,1,30,365,43.79,5255,120,13,13,13,99,122,2,0,5,1.06,4.8,4.9,4.4,4.9,4.9,4.8,4.9
4294,13604485,56352735,3,30,1125,,,0,0,0,0,0,120,0,0,0,0.99,4.6,4.7,4.5,4.9,4.8,4.7,4.8
4295,13605192,62317991,8,30,1125,226.77,0,0,14,44,74,254,68,0,0,1,0.57,4.8,4.8,4.8,4.8,4.8,4.6,4.7
4296,13606307,2368191,4,2,365,461.33,23528,51,6,19,19,154,151,4,0,9,1.25,4.9,4.9,4.9,4.9,5,4.4,4.7
4297,13614714,78722739,4,30,100,109.9,6594,60,0,9,28,153,10,1,0,1,0.09,5,4.8,5,4.9,4.9,5,5
4298,13614923,305207,3,30,30,,,0,0,0,0,0,2,0,0,0,0.02,5,5,5,5,5,5,5
4299,13620503,27175000,2,30,1125,,,0,0,0,0,0,2,0,0,0,0.02,4.5,5,4,4.5,5,5,5
4300,13621211,61391963,4,30,365,240.96,0,0,0,0,16,291,22,0,0,2,0.18,4.8,4.8,4.6,4.9,4.8,4.8,4.6
4301,13622777,68760676,2,30,1125,,,0,0,0,0,0,1,0,0,0,0.01,5,5,4,5,5,4,5
4302,13623275,43125231,2,30,1125,,,0,0,0,0,0,4,0,0,0,0.03,5,5,5,5,5,4.8,4.8
4303,13623361,22533562,4,30,1125,,,0,0,0,0,0,0,0,0,0,,,,,,,,
